profile,actor,DPS,int,haste,crit,mastery,vers,dpsW,
Single,Necrolord_Shadowflame_Prism_Mindbender,10080,1.00,0.56,0.54,0.71,0.55,0.24,
Single,Necrolord_Talbadars_Stratagem,10031,1.00,0.59,0.55,0.71,0.54,0.24,
Single,Kyrian_Talbadars_Stratagem,9978,1.00,0.51,0.54,0.66,0.55,0.24,
Single,Night_Fae_Shadowflame_Prism_Mindbender,9819,1.00,0.55,0.55,0.71,0.56,0.24,
Single,Venthyr_Talbadars_Stratagem,9799,1.00,0.57,0.55,0.70,0.55,0.24,
Single,Necrolord_Pallid_Command,9787,1.00,0.58,0.54,0.70,0.55,0.25,
Single,Night_Fae_Talbadars_Stratagem,9786,1.00,0.54,0.55,0.71,0.55,0.24,
Single,Venthyr_Shadowflame_Prism_Mindbender,9766,1.00,0.59,0.55,0.71,0.55,0.25,
Single,Kyrian_Shadowflame_Prism_Mindbender,9764,1.00,0.51,0.55,0.67,0.55,0.25,
Single,Base,8540,1.00,0.67,0.56,0.71,0.55,0.28,
