profile,actor,DPS,int,haste,crit,mastery,vers,dpsW,
Dungeons,Necrolord,6461,1.00,0.63,0.47,0.39,0.45,0.28,
Dungeons,Kyrian,6373,1.00,0.56,0.45,0.38,0.40,0.28,
Dungeons,Venthyr,6286,1.00,0.59,0.46,0.42,0.41,0.29,
Dungeons,Night_Fae,5973,1.00,0.60,0.45,0.42,0.43,0.30,
Dungeons,Base,5358,1.00,0.60,0.45,0.39,0.43,0.34,
