profile,actor,DPS,int,haste,crit,mastery,vers,dpsW,
Composite,Necrolord_Shadowflame_Prism_Mindbender,10990,1.00,0.62,0.58,0.70,0.55,0.22,
Composite,Necrolord_Talbadars_Stratagem,10814,1.00,0.62,0.59,0.70,0.56,0.22,
Composite,Night_Fae_Shadowflame_Prism_Mindbender,10784,1.00,0.56,0.63,0.71,0.56,0.22,
Composite,Kyrian_Talbadars_Stratagem,10774,1.00,0.56,0.59,0.66,0.55,0.22,
Composite,Night_Fae_Talbadars_Stratagem,10731,1.00,0.62,0.62,0.71,0.55,0.22,
Composite,Kyrian_Shadowflame_Prism_Mindbender,10650,1.00,0.53,0.61,0.66,0.55,0.23,
Composite,Venthyr_Shadowflame_Prism_Mindbender,10621,1.00,0.60,0.61,0.71,0.55,0.23,
Composite,Venthyr_Talbadars_Stratagem,10601,1.00,0.60,0.60,0.70,0.55,0.23,
Composite,Necrolord_Pallid_Command,10526,1.00,0.62,0.58,0.70,0.55,0.23,
Composite,Base,9077,1.00,0.61,0.59,0.69,0.55,0.26,
