profile,actor,DPS,int,haste,crit,mastery,vers,dpsW,
Single,Necrolord_Shadowflame_Prism_Mindbender,10637,1.00,0.62,0.58,0.71,0.54,0.22,
Single,Kyrian_Talbadars_Stratagem,10554,1.00,0.55,0.59,0.66,0.56,0.23,
Single,Necrolord_Talbadars_Stratagem,10542,1.00,0.61,0.58,0.71,0.56,0.23,
Single,Night_Fae_Talbadars_Stratagem,10461,1.00,0.62,0.61,0.71,0.55,0.23,
Single,Night_Fae_Shadowflame_Prism_Mindbender,10442,1.00,0.56,0.63,0.72,0.56,0.23,
Single,Venthyr_Talbadars_Stratagem,10356,1.00,0.60,0.60,0.71,0.55,0.23,
Single,Kyrian_Shadowflame_Prism_Mindbender,10312,1.00,0.52,0.60,0.67,0.55,0.24,
Single,Venthyr_Shadowflame_Prism_Mindbender,10293,1.00,0.61,0.60,0.71,0.56,0.23,
Single,Necrolord_Pallid_Command,10227,1.00,0.62,0.57,0.71,0.55,0.24,
Single,Base,8839,1.00,0.61,0.58,0.70,0.55,0.27,
