profile,actor,DPS,int,haste,crit,mastery,vers,dpsW,
Composite,Necrolord_Shadowflame_Prism_Mindbender,10413,1.00,0.57,0.54,0.70,0.55,0.23,
Composite,Necrolord_Talbadars_Stratagem,10270,1.00,0.59,0.55,0.70,0.54,0.23,
Composite,Kyrian_Talbadars_Stratagem,10169,1.00,0.52,0.55,0.66,0.55,0.24,
Composite,Night_Fae_Shadowflame_Prism_Mindbender,10131,1.00,0.56,0.55,0.70,0.56,0.24,
Composite,Venthyr_Shadowflame_Prism_Mindbender,10075,1.00,0.60,0.55,0.70,0.55,0.24,
Composite,Kyrian_Shadowflame_Prism_Mindbender,10067,1.00,0.52,0.55,0.67,0.55,0.24,
Composite,Necrolord_Pallid_Command,10061,1.00,0.59,0.54,0.69,0.55,0.24,
Composite,Night_Fae_Talbadars_Stratagem,10032,1.00,0.55,0.55,0.71,0.55,0.24,
Composite,Venthyr_Talbadars_Stratagem,10018,1.00,0.58,0.55,0.70,0.55,0.24,
Composite,Base,8755,1.00,0.67,0.56,0.70,0.55,0.28,
